CODGEO;NBMENFISC19;NBPERSMENFISC19;MED19;PIMP19;TP6019;TP60AGE119;TP60AGE219;TP60AGE319;TP60AGE419;TP60AGE519;TP60AGE619;TP60TOL119;TP60TOL219;PACT19;PTSA19;PCHO19;PBEN19;PPEN19;PPAT19;PPSOC19;PPFAM19;PPMINI19;PPLOGT19;PIMPOT19;D119;D919;RD19
14;300626;660424;21730;56,1;12,1;21,2;14,6;14,1;11,8;7,8;7,4;5,2;24,4;68,7;60,3;2,7;5,7;32,2;9,1;5,9;2,1;2,5;1,3;-15,9;12430;36540;2,9
15;66672;137306;20690;48,1;13,0;16,9;13,1;14,3;13,0;10,7;13,8;8,8;25,4;61,7;50,9;2,0;8,8;35,9;11,3;5,6;1,7;2,8;1,1;-14,5;12230;33590;2,7
16;159178;338230;20940;50,8;14,6;24,7;17,8;16,3;13,8;10,4;11,7;8,1;30,3;65,2;55,6;2,8;6,8;34,1;9,1;6,5;1,9;3,2;1,4;-14,9;11700;34950;3,0
17;308100;650499;21540;54,3;12,5;21,0;15,1;14,5;13,3;8,5;9,4;7,3;24,3;60,9;50,8;3,0;7,1;38,9;10,6;5,5;1,7;2,6;1,2;-15,9;12320;36820;3,0
18;139241;293660;21090;53,1;14,0;23,5;17,8;16,6;13,7;9,8;8,7;7,0;30,7;64,2;56,2;2,5;5,5;35,7;8,6;6,6;2,0;3,2;1,4;-15,1;11790;34560;2,9
19;109827;227555;21170;52,3;13,0;21,0;16,0;14,6;12,5;9,3;11,5;7,9;26,1;62,6;53,9;2,5;6,2;37,7;9,0;5,5;1,8;2,5;1,2;-14,8;12220;34610;2,8
21;231439;500167;22590;60,1;11,2;20,5;13,0;12,9;10,8;7,3;7,2;5,0;24,5;71,5;62,5;2,4;6,6;30,7;9,9;5,2;1,9;2,2;1,1;-17,3;12700;38280;3,0
22;274484;595098;21450;52,8;11,6;18,9;13,9;13,1;11,7;7,7;9,6;6,8;26,5;63,2;53,7;2,7;6,8;37,2;9,0;5,6;2,1;2,4;1,1;-15,0;12610;34900;2,8
23;55436;109784;19690;44,6;18,1;24,8;21,4;21,0;18,9;13,6;16,8;13,2;33,0;56,4;46,8;2,4;7,2;41,4;8,9;6,6;1,7;3,6;1,3;-13,3;10810;32080;3,0
24;189606;393709;20400;48,2;16,0;24,8;19,5;18,4;16,7;11,8;13,5;10,5;29,9;58,3;49,3;2,9;6,1;40,2;9,6;6,1;1,8;3,0;1,3;-14,2;11300;33710;3,0
